Lineage,GPX1,GPX2,GPX3,GPX4,GPX6,DIO1,DIO2,DIO3,TXNRD1,TXNRD2,TXNRD3,SEPHS2,SELENOE,SELENOF,SELENOH,SELENOI,SELENOJ,SELENOK,SELENOL,SELENOM,SELENON,SELENOO,SELENOP,MSRB,SELENOS,SELENOT,SELENOU,SELENOV,SELENOW1,SELENOW2
Cyclostomata,0,2,3,1,0,0,2,2,1,0,0,1,0,1,0,1,0,1,1,1,1,1,2,1,1,2,1,0,1,1
Chondrichthyes,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1
Actinopterygii,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0,1,1
Osteoglossiformes,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,0,1,1
Clupeiformes,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,0,1,1
Cyprinoidei,3,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,3,1,5,4,0,1,3
Characiphysae,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,3,0,1,1
Esocidae,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,0,1,2
Salmoninae,3,1,3,3,0,1,2,3,2,1,0,1,2,2,3,1,1,1,1,1,1,2,4,3,1,3,4,0,1,4
Acanthomorphata,2,1,2,2,0,1,1,2,2,1,0,1,1,1,1,1,2,1,1,1,1,2,2,3,1,2,3,0,0,2
Tetraodontidae,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,0,0,1
Anabantaria,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,3,0,0,1
Cynoglossinae,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,3,0,0,1
Carangaria,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,2,1,1,1,1,2,2,3,1,2,3,0,0,2
Perciformes,2,1,2,2,0,1,1,2,2,1,0,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,3,0,0,1
Eupercaria,2,1,2,2,0,1,1,2,2,1,0,1,1,1,1,1,2,1,1,1,1,2,2,3,1,2,3,0,0,1
Ovalentaria,2,1,2,2,0,1,1,2,2,1,0,1,1,1,1,1,2,1,1,1,1,2,2,3,1,2,2,0,0,2
Oryziinae,1,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,3,1,2,2,0,0,1
Cyprinodontoidei,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,0,0,3
Aplocheiloidei,2,1,2,2,0,1,1,2,1,1,0,1,1,1,1,1,2,1,1,1,1,2,2,3,1,2,2,0,0,1
Coelacanthimorpha,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1
Anura,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1
Lepidosauria,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,2,1,1,1,1,0,0,1
Testudines,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,2,1,1,1,0,0,0,1
